GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
database,by.boitman.database.util,PredicateBuilder,34,0,2,0,8,0,6,0,5,0
database,by.boitman.database.entity,AccountEntity,125,51,14,0,7,6,24,7,17,7
database,by.boitman.database.entity,CardEntity_,3,0,0,0,1,0,1,0,1,0
database,by.boitman.database.entity,CreatableEntity,0,3,0,0,0,1,0,1,0,1
database,by.boitman.database.entity,UserEntity.UserEntityBuilder,33,67,1,1,0,1,4,9,3,9
database,by.boitman.database.entity,UserEntity,144,44,14,0,11,3,29,4,22,4
database,by.boitman.database.entity,AccountEntity_,3,0,0,0,1,0,1,0,1,0
database,by.boitman.database.entity,CreatableEntity_,3,0,0,0,1,0,1,0,1,0
database,by.boitman.database.entity,CardEntity,110,35,14,0,6,5,21,5,14,5
database,by.boitman.database.entity,CardEntity.CardEntityBuilder,24,39,0,0,0,1,3,6,3,6
database,by.boitman.database.entity,UserEntity_,3,0,0,0,1,0,1,0,1,0
database,by.boitman.database.entity,ContactEntity,3,0,0,0,1,0,1,0,1,0
database,by.boitman.database.entity,AccountEntity.AccountEntityBuilder,36,55,1,1,0,1,5,7,4,7
database,by.boitman.database.dto,CardDto,124,0,22,0,5,0,21,0,10,0
database,by.boitman.database.dto,AccountDto,124,0,22,0,5,0,21,0,10,0
database,by.boitman.database.dto,CardFilter.CardFilterBuilder,45,0,0,0,1,0,7,0,7,0
database,by.boitman.database.dto,CardFilter,241,0,44,0,8,0,37,0,15,0
database,by.boitman.database.dto,AccountFilter,197,44,41,3,2,6,31,6,9,6
database,by.boitman.database.dto,AccountFilter.AccountFilterBuilder,20,25,0,0,0,1,3,4,3,4
database,by.boitman.database.entity.enam,Gender,0,15,0,0,0,3,0,1,0,1
database,by.boitman.database.entity.enam,Role,0,15,0,0,0,3,0,1,0,1
database,by.boitman.database.dao,UserDao,23,0,0,0,9,0,4,0,4,0
database,by.boitman.database.dao,Dao,29,36,0,0,7,8,3,4,3,4
database,by.boitman.database.dao,CardDao,134,11,2,0,26,4,6,3,5,3
database,by.boitman.database.dao,AccountDao,36,151,2,2,5,33,3,8,1,8
database,by.boitman.database.hibernate,HibernateFactory,0,21,0,0,0,6,0,4,0,4
